Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
MS-040;Leste;Meio-Fio;185+213;185+396;183;-21,14028347;-53,15381408;-21,1406821;-53,1520535
MS-040;Oeste;Meio-Fio;185+996;185+228;768;-21,14059579;-53,14643249;-21,14021056;-53,15373029
MS-040;Leste;Meio-Fio;186+051;186+458;407;-21,14058601;-53,14586828;-21,13976559;-53,1420349
MS-040;Oeste;Meio-Fio;186+463;183+061;3402;-21,13966008;-53,14204534;-21,14046267;-53,14580786
MS-040;;DP - CONCRETO;188+578;188+578;;21 82112S;;53 71952W;
MS-040;Oeste;Meio-Fio;188+610;188+594;16;-21,13920235;-53,12202404;-21,13914966;-53,12217342
MS-040;;DP - CONCRETO;190+878;190+878;;21 84772S;;53 6506W;
MS-040;Oeste;Meio-Fio;190+952;190+848;104;-21,14669574;-53,10092523;-21,14635919;-53,10187408
MS-040;;DP - CONCRETO;193+435;193+435;;21 91714S;;53 44206W;
MS-040;Oeste;Meio-Fio;193+959;193+206;753;-21,15631470;-53,07385979;-21,15390808;-53,0806344
MS-040;;DP - CONCRETO;195+266;195+266;;21 93819S;;53 34277W;
MS-040;Oeste;Meio-Fio;195+301;195+284;17;-21,16060600;-53,06177007;-21,16055426;-53,06191765
MS-040;;DP - CONCRETO;196+601;196+601;;21 95337S;;53 25952W;
MS-040;Oeste;Meio-Fio;196+759;196+443;316;-21,16526177;-53,04865064;-21,16425092;-53,05149330
MS-040;;DP - CONCRETO;197+493;197+493;;2110377S;;53 23055W;
MS-040;Oeste;Meio-Fio;197+578;197+443;135;-21,16788378;-53,04125804;-21,16745180;-53,04248024
MS-040;Oeste;Meio-Fio;198+441;198+286;155;-21,17063487;-53,03349345;-21,17013845;-53,03490210
MS-040;Leste;Meio-Fio;199+400;199+933;533;-21,17371220;-53,02490991;-21,17598950;-53,02040495
MS-040;Leste;Meio-Fio;200+509;200+897;388;-21,18021852;-53,01718646;-21,18318075;-53,01518208
MS-040;;DP - CONCRETO;200+641;200+641;;21105302S;;53 05891W;
MS-040;;DP - CONCRETO;200+679;200+679;;21105409S;;53 05830W;
MS-040;Oeste;Meio-Fio;200+901;200+542;359;-21,18320158;-53,01514644;-21,18045919;-53,01700375
MS-040;Leste;Meio-Fio;205+373;205+565;192;-21,21732955;-52,99191714;-21,21881454;-52,99090062
MS-040;Oeste;Meio-Fio;205+574;205+389;;-21,21877001;-52,99090952;-21,21736037;-52,99187361
MS-040;Leste;Meio-Fio;205+598;205+769;171;-21,21904283;-52,99074374;-21,22035624;-52,98984549
MS-040;Oeste;Meio-Fio;205+785;205+608;177;-21,22037788;-52,98980876;-21,21903129;-52,99073166
MS-040;Oeste;Meio-Fio;206+958;206+567;391;-21,22701744;-52,98178001;-21,22600505;-52,98533625
MS-040;Leste;Meio-Fio;207+609;208+363;754;-21,22720926;-52,97539229;-21,22739138;-52,96812768
MS-040;;DP - CONCRETO;208+101;208+101;;21133886S;;52581416W;
MS-040;Oeste;Meio-Fio;208+271;207+758;513;-21,22734157;-52,96912212;-21,22721396;-52,97407946
MS-040;Leste;Meio-Fio;209+544;209+783;239;-21,22782113;-52,95675118;-21,22868672;-52,95463932
